3.25,2.4,0.916
3.25,2.6,0.915
3.25,2.8,0.915
3.25,3,0.915
3.25,3.2,0.915
3.25,3.4,0.915
3.25,3.6,0.915
3.25,3.8,0.915
3.25,4,0.915
3.5,0.2,0.905
3.5,0.4,0.907
3.5,0.6,0.906
3.5,0.8,0.906
3.5,1,0.906
3.5,1.2,0.908
3.5,1.4,0.908
3.5,1.6,0.908
3.5,1.8,0.909
3.5,2,0.912
3.5,2.2,0.912
3.5,2.4,0.912
3.5,2.6,0.912
3.5,2.8,0.912
3.5,3,0.912
3.5,3.2,0.912
3.5,3.4,0.912
3.5,3.6,0.912
3.5,3.8,0.913
3.5,4,0.913
3.75,0.2,0.902
3.75,0.4,0.902
3.75,0.6,0.903
3.75,0.8,0.904
3.75,1,0.904
3.75,1.2,0.905
3.75,1.4,0.908
3.75,1.6,0.906
3.75,1.8,0.908
3.75,2,0.906
3.75,2.2,0.907
3.75,2.4,0.907
3.75,2.6,0.908
3.75,2.8,0.908
3.75,3,0.908
3.75,3.2,0.908
3.75,3.4,0.908
3.75,3.6,0.908
3.75,3.8,0.908
3.75,4,0.909
4,0.2,0.9
4,0.4,0.901
4,0.6,0.901
4,0.8,0.903
4,1,0.903
4,1.2,0.903
4,1.4,0.902
4,1.6,0.904
4,1.8,0.904
4,2,0.904
4,2.2,0.904
4,2.4,0.904
4,2.6,0.905
4,2.8,0.905
4,3,0.906
4,3.2,0.905
4,3.4,0.906
4,3.6,0.906
4,3.8,0.908
4,4,0.907
4.25,0.2,0.899
4.25,0.4,0.9
4.25,0.6,0.9
4.25,0.8,0.9
4.25,1,0.9
4.25,1.2,0.9
4.25,1.4,0.9
4.25,1.6,0.9
4.25,1.8,0.9
4.25,2,0.9
4.25,2.2,0.9
4.25,2.4,0.9
4.25,2.6,0.902
4.25,2.8,0.902
4.25,3,0.903
4.25,3.2,0.903
4.25,3.4,0.904
4.25,3.6,0.904
4.25,3.8,0.904
4.25,4,0.904
4.5,0.2,0.893
4.5,0.4,0.893
4.5,0.6,0.893
4.5,0.8,0.893
4.5,1,0.893
4.5,1.2,0.893
4.5,1.4,0.893
4.5,1.6,0.893
4.5,1.8,0.897
4.5,2,0.896
4.5,2.2,0.899
4.5,2.4,0.897
4.5,2.6,0.9
4.5,2.8,0.9
4.5,3,0.9
4.5,3.2,0.9
4.5,3.4,0.898
4.5,3.6,0.898
4.5,3.8,0.896
4.5,4,0.897
4.75,0.2,0.89
4.75,0.4,0.89
4.75,0.6,0.889
4.75,0.8,0.889
4.75,1,0.889
4.75,1.2,0.889
4.75,1.4,0.889
4.75,1.6,0.889
4.75,1.8,0.889
4.75,2,0.889
4.75,2.2,0.889
4.75,2.4,0.888
4.75,2.6,0.887
4.75,2.8,0.889
4.75,3,0.887
4.75,3.2,0.884
4.75,3.4,0.884
4.75,3.6,0.885
4.75,3.8,0.88
4.75,4,0.879
5,0.2,0.88
5,0.4,0.878
5,0.6,0.878
5,0.8,0.877
5,1,0.874
5,1.2,0.878
5,1.4,0.875
5,1.6,0.875
5,1.8,0.873
5,2,0.875
5,2.2,0.869
5,2.4,0.865
5,2.6,0.86
5,2.8,0.857
5,3,0.857
5,3.2,0.856
5,3.4,0.852
5,3.6,0.852
5,3.8,0.847
5,4,0.84
5.25,0.2,0.852
5.25,0.4,0.848
5.25,0.6,0.842
5.25,0.8,0.843
5.25,1,0.836
5.25,1.2,0.845
5.25,1.4,0.843
5.25,1.6,0.837
5.25,1.8,0.839
5.25,2,0.827
5.25,2.2,0.834
5.25,2.4,0.834
5.25,2.6,0.838
5.25,2.8,0.831
5.25,3,0.822
5.25,3.2,0.825
5.25,3.4,0.822
5.25,3.6,0.793
5.25,3.8,0.807
5.25,4,0.809
5.5,0.2,0.817
5.5,0.4,0.824
5.5,0.6,0.807
5.5,0.8,0.79
5.5,1,0.81
5.5,1.2,0.809
5.5,1.4,0.811
5.5,1.6,0.779
5.5,1.8,0.797
5.5,2,0.788
5.5,2.2,0.782
5.5,2.4,0.779
5.5,2.6,0.777
5.5,2.8,0.792
5.5,3,0.796
5.5,3.2,0.784
5.5,3.4,0.739
5.5,3.6,0.735
5.5,3.8,0.732
5.5,4,0.74
5.75,0.2,0.813
5.75,0.4,0.775
5.75,0.6,0.753
5.75,0.8,0.672
5.75,1,0.718
5.75,1.2,0.712
5.75,1.4,0.659
5.75,1.6,0.696
5.75,1.8,0.664
5.75,2,0.678
5.75,2.2,0.653
5.75,2.4,0.676
5.75,2.6,0.673
5.75,2.8,0.675
5.75,3,0.563
5.75,3.2,0.631
5.75,3.4,0.566
5.75,3.6,0.552
5.75,3.8,0.521
5.75,4,0.54
6,0.2,0.514
6,0.4,0.544
6,0.6,0.462
6,0.8,0.436
6,1,0.553
6,1.2,0.477
6,1.4,0.322
6,1.6,0.393
6,1.8,0.408
6,2,0.326
6,2.2,0.489
6,2.4,0.439
6,2.6,0.562
6,2.8,0.448
6,3,0.239
6,3.2,0.421
6,3.4,0.371
6,3.6,0.324
6,3.8,0.422
6,4,0.518
